layer,doc_name,bytes,create_time
L0,first-principles-of-agent-development-l0_lightrag.txt,4392,2026-07-09 13:47:23
L1,dev-environment-workflow-v2-l1_lightrag.txt,2904,2026-04-16 01:49:44
L1,lightrag-infra-ops-log-l1_lightrag.txt,4392,2026-04-16 01:28:56
L1,lightrag-knowledge-ops-l1_lightrag.txt,3035,2026-04-16 01:29:46
L2,adr-templates-l2_lightrag.txt,6170,2026-04-21 11:53:35
L2,agent-memory-design-principles-l2_lightrag.txt,4039,2026-07-09 13:39:50
L2,ai-document-generation-pipeline-l2_lightrag.txt,2387,2026-04-16 02:16:38
L2,auto-design-scout-l2_lightrag.txt,3029,2026-04-16 13:11:43
L2,building-llm-claude-l2_lightrag.txt,29136,2026-04-12 04:03:49
L2,claude-code-agent-teams-parallel-dev-l2_lightrag.txt,1796,2026-04-16 02:17:08
L2,competitive-intelligence-pipeline-l2_lightrag.txt,4019,2026-04-16 13:32:08
L2,creative-ideation-lens-l2_lightrag.txt,3213,2026-04-16 13:01:14
L2,durable-execution-hitl-approval-l2_lightrag.txt,3070,2026-04-16 02:18:12
L2,gsd-spec-driven-dev-l2_lightrag.txt,3150,2026-04-15 05:29:00
L2,multi-agent-design-patterns-l2_lightrag.txt,3107,2026-04-15 13:42:20
L2,multi-tenant-saas-design-pattern-l2_lightrag.txt,2014,2026-04-16 02:17:36
L2,n8n-to-webapp-migration-pattern-l2_lightrag.txt,2169,2026-04-16 02:18:54
L2,n8n-workflow-design-patterns-l2_lightrag.txt,3271,2026-04-15 13:43:11
L2,rag-application-design-patterns-l2_lightrag.txt,5929,2026-04-15 13:53:55
L2,rag-pipeline-patterns-l2_lightrag.txt,3738,2026-04-15 13:44:06
L2,skill-design-patterns-l2_lightrag.txt,3462,2026-04-14 11:31:39
L2,superpowers-full-l2_lightrag.txt,7264,2026-04-21 12:03:32
L2,superpowers-workflow-l2_lightrag.txt,3036,2026-04-15 01:17:33
L2,systematic-debugging-l2_lightrag.txt,4788,2026-04-21 11:54:48
L2c,acp-agent-commerce-protocol-l2c_lightrag.txt,7998,2026-04-27 12:20:29
L2c,agentic-os-design-pattern-l2c_lightrag.txt,12472,2026-04-27 12:08:47
L2c,agentic-saas-boilerplate-l2c_lightrag.txt,2390,2026-04-24 07:43:44
L2c,agent-routing-l2c_lightrag.txt,2492,2026-04-18 11:52:00
L2c,claude-md-driven-content-generation-l2c_lightrag.txt,4878,2026-04-18 12:18:31
L2c,claude-obsidian-wiki-pattern-l2c_lightrag.txt,2966,2026-04-23 13:10:37
L2c,claude-skill-manager-design-patterns-l2c_lightrag.txt,9724,2026-04-27 11:34:15
L2c,company-profile-matching-engine-l2c_lightrag.txt,2985,2026-06-13 00:47:58
L2c,dealcopilot-domain-patterns-l2c_lightrag.txt,7250,2026-06-05 23:58:54
L2c,document-to-sns-image-pipeline-l2c_lightrag.txt,2773,2026-06-13 00:48:32
L2c,domain-skillpack-productized-service-l2c_lightrag.txt,4555,2026-06-07 03:52:29
L2c,graphify-mcp2cli-token-reduction-l2c_lightrag.txt,3551,2026-05-09 12:41:27
L2c,instinct-based-continuous-learning-l2c_lightrag.txt,8061,2026-04-27 11:15:02
L2c,intent-driven-skill-resolution-l2c_lightrag.txt,5361,2026-07-13 12:02:00
L2c,layout-preserving-retrieval-hybrid-l2c_lightrag.txt,7588,2026-08-01 00:58:53
L2c,llm-council-pattern-l2c_lightrag.txt,6840,2026-04-27 11:48:31
L2c,llm-token-reduction-proxy-l2c_lightrag.txt,3178,2026-04-18 11:54:45
L2c,miniclaw-sandbox-pattern-l2c_lightrag.txt,9406,2026-04-27 11:20:35
L2c,multi-tool-skills-sharing-l2c_lightrag.txt,9761,2026-04-27 11:37:14
L2c,n8n-self-improving-workflow-agent-l2c_lightrag.txt,4611,2026-04-18 12:17:35
L2c,openai-compat-abstraction-l2c_lightrag.txt,3291,2026-04-18 11:53:14
L2c,over-engineering-guard-pipeline-l2c_lightrag.txt,2647,2026-06-15 22:57:48
L2c,rag-retrieval-quality-l2c_lightrag.txt,7542,2026-04-30 10:51:17
L2c,schema-driven-lazy-cli-l2c_lightrag.txt,4668,2026-04-18 12:00:08
L2c,self-hosted-multichannel-distribution-l2c_lightrag.txt,2441,2026-06-13 00:47:20
L2c,server-side-knowledge-stack-l2c_lightrag.txt,4877,2026-05-17 00:21:55
L2c,text-first-on-demand-visuals-l2c_lightrag.txt,3126,2026-04-18 11:54:00
L2c,three-role-agent-development-loop-l2c_lightrag.txt,6177,2026-07-26 01:26:12
L2c,tool-loop-mcp-l2c_lightrag.txt,2899,2026-04-18 11:52:38
L2c,trinity-council-deliberation-l2c_lightrag.txt,4181,2026-04-18 12:16:40
L2c,video-to-knowledge-pipeline-l2c_lightrag.txt,6259,2026-07-24 02:36:58
L3,agency-agents-msitarzewski-l3_lightrag.txt,13182,2026-05-09 13:47:32
L3,agent-zero-l3_lightrag.txt,10110,2026-04-27 11:53:28
L3,agile-studio-l3_lightrag.txt,8358,2026-04-21 12:12:42
L3,agno-l3_lightrag.txt,3078,2026-06-15 22:11:27
L3,andrej-karpathy-skills-l3_lightrag.txt,7411,2026-05-21 09:49:12
L3,anthropic-claude-code-l3_lightrag.txt,6493,2026-05-19 12:27:18
L3,anthropic-cookbook-l3_lightrag.txt,4809,2026-04-19 02:02:16
L3,antigravity-awesome-skills-l3_lightrag.txt,3370,2026-04-15 14:01:07
L3,arcads-claude-code-l3_lightrag.txt,4697,2026-05-11 20:56:19
L3,art-openpipe-l3_lightrag.txt,9081,2026-04-30 10:21:40
L3,astrbot-l3_lightrag.txt,7552,2026-08-01 00:30:21
L3,autogen-l3_lightrag.txt,2836,2026-04-24 07:40:37
L3,awesome-agent-skills-l3_lightrag.txt,8460,2026-04-21 11:51:59
L3,awesome-compose-l3_lightrag.txt,9675,2026-04-12 03:20:23
L3,awesome-design-md-l3_lightrag.txt,13473,2026-04-12 00:46:43
L3,better-auth-l3_lightrag.txt,4543,2026-04-22 13:23:17
L3,browser-use-l3_lightrag.txt,4214,2026-04-19 01:53:12
L3,buzz-block-l3_lightrag.txt,9649,2026-07-27 08:11:53
